Datum;min_temp;max_temp;rain;water;moisture_shade;moisture_sun
29. Jun;12;28;1;0;18;14
30. Jun;18;24;18;0;42;40
01. Jul;18;24;2;0;30;25
02. Jul;15;23;3;0;35;30
03. Jul;14;24;0;0;28;25
04. Jul;13;25;0;0;22;18
05. Jul;14;23;2;0;28;24
06. Jul;13;25;0;0;22;17
07. Jul;14;29;0;0;17;12
08. Jul;15;30;0;0;11;6
09. Jul;18;34;0;5;21;17
10. Jul;20;32;1;10;34;30
11. Jul;18;35;0;0;24;18
12. Jul;18;28;13;0;36;32
13. Jul;16;24;1;0;25;23
14. Jul;14;27;0;0;19;15
15. Jul;15;36;3;0;14;9
16. Jul;19;26;8;0;24;20
17. Jul;18;28;0;0;18;12
18. Jul;14;29;1;0;17;11
19. Jul;17;29;0;0;14;9
20. Jul;13;26;0;0;12;8
21. Jul;12;26;2;0;19;14
22. Jul;12;25;0;0;17;11
23. Jul;14;29;2;0;23;17
24. Jul;15;25;5;0;30;26
25. Jul;12;22;15;0;44;41
26. Jul;10;17;3;0;36;33
27. Jul;9;21;1;0;32;29
28. Jul;14;25;3;0;29;26
29. Jul;15;25;12;0;41;38
30. Jul;14;24;3;0;33;30
31. Jul;16;24;2;0;28;25
01. Aug;15;20;3;0;26;21
02. Aug;11;26;11;0;39;36
03. Aug;15;24;0;0;31;29
04. Aug;14;20;0;0;28;25
05. Aug;14;19;9;0;35;33
06. Aug;11;16;16;0;44;41
07. Aug;10;17;0;0;38;35
08. Aug;11;21;0;0;33;30
09. Aug;13;20;11;0;44;40
10. Aug;12;23;0;0;38;36
11. Aug;12;29;0;0;27;24
12. Aug;15;31;0;0;20;17
13. Aug;19;31;6;0;24;22
14. Aug;18;32;0;0;16;12
15. Aug;19;32;3;0;21;19
16. Aug;17;30;0;0;15;12
17. Aug;17;31;4;0;21;18
18. Aug;16;30;0;0;16;13
19. Aug;16;33;0;0;11;9
20. Aug;18;33;0;10;27;24
21. Aug;18;34;0;0;19;16
22. Aug;20;34;0;0;11;10
23. Aug;21;32;0;0;6;5
24. Aug;19;35;3;0;14;11
25. Aug;20;29;12;0;28;25
26. Aug;15;26;21;0;45;41
27. Aug;14;17;31;0;50;50
28. Aug;11;16;42;0;50;50
29. Aug;10;14;0;0;46;41
30. Aug;12;19;1;0;38;34
31. Aug;12;19;3;0;32;28
